,CustomerID,Total_Purchases,Total_Net_Revenue,Total_Sale_Qty,Total_Return_Qty,Avg_Order_Value,RecencyDays,Return_Rate,Net_Qty,Purchase_Frequency_Monthly,Customer_Value
1703,14646.0,77,279489.02,197491,772,3629.727532467533,1,0.0039090388929115755,196719,1155.0,Positive
4233,18102.0,62,256438.49,64124,2,4136.104677419355,0,3.118957020772254e-05,64122,1860.0,Positive
3758,17450.0,55,187322.17,69973,964,3405.8576363636366,7,0.013776742457805153,69009,206.25,Positive
1895,14911.0,248,132458.73,80490,3335,534.1077822580645,0,0.04143371847434464,77155,7440.0,Positive
55,12415.0,26,123725.45,77670,428,4758.671153846154,23,0.00551049311188361,77242,32.5,Positive
1345,14156.0,66,113214.59,57768,860,1715.3725757575758,9,0.014887134745880073,56908,198.0,Positive
3801,17511.0,46,88125.38,64549,1537,1915.7691304347827,2,0.023811368107949,63012,460.0,Positive
3202,16684.0,31,65892.08,50255,865,2125.5509677419354,3,0.017212217689782112,49390,232.5,Positive
1005,13694.0,60,62690.54,63312,1413,1044.8423333333333,3,0.022318043972706595,61899,450.0,Positive
2192,15311.0,118,59284.19,38147,474,502.4083898305085,0,0.012425616693317954,37673,3540.0,Positive
568,13089.0,118,57322.13,31025,283,485.7807627118644,2,0.00912167606768735,30742,1180.0,Positive
1300,14096.0,34,57120.909999999996,16352,17,1680.0267647058822,3,0.0010396281800391389,16335,255.0,Positive
1999,15061.0,55,54228.74,28920,330,985.9770909090909,3,0.011410788381742738,28590,412.5,Positive
2722,16029.0,76,53168.69,40108,6476,699.5880263157895,38,0.16146404707290316,33632,58.46153846153846,Positive
4125,17949.0,52,52750.84,30546,2975,1014.4392307692307,0,0.0973940941530806,27571,1560.0,Positive
2537,15769.0,29,51823.72,29672,2012,1787.024827586207,6,0.06780803451064978,27660,124.28571428571428,Positive
1447,14298.0,45,50862.44,58343,322,1130.2764444444445,2,0.0055190854087037,58021,450.0,Positive
1295,14088.0,14,50415.49,12665,72,3601.1064285714283,9,0.0056849585471772605,12593,42.0,Positive
4042,17841.0,169,39869.05,22834,206,235.91153846153847,1,0.009021634404834895,22628,2535.0,Positive
1078,13798.0,63,36352.87,23948,433,577.0296825396825,0,0.018080841823951897,23515,1890.0,Positive
3014,16422.0,75,33805.69,33704,1112,450.74253333333337,16,0.03299311654403038,32592,132.35294117647058,Positive
458,12931.0,20,33462.81,28004,4627,1673.1405,21,0.16522639622911012,23377,27.272727272727273,Positive
2708,16013.0,54,33366.25,15536,1691,617.8935185185185,3,0.10884397528321318,13845,405.0,Positive
2590,15838.0,21,33350.76,18368,9361,1588.1314285714286,10,0.5096363240418118,9007,57.27272727272727,Positive
3712,17389.0,43,31300.079999999998,7612,182,727.9088372093023,0,0.023909616395165527,7430,1290.0,Positive
3722,17404.0,18,30300.82,32748,424,1683.378888888889,3,0.012947355563698547,32324,135.0,Positive
576,13098.0,41,28658.88,15968,57,698.9970731707317,0,0.0035696392785571143,15911,1230.0,Positive
330,12748.0,224,28405.56,25288,1538,126.81053571428572,0,0.06081936096172098,23750,6720.0,Positive
564,13081.0,21,27964.48,19160,139,1331.6419047619047,0,0.007254697286012526,19021,630.0,Positive
803,13408.0,81,27487.41,16232,113,339.3507407407407,1,0.006961557417447018,16119,1215.0,Positive
1728,14680.0,23,26932.34,13476,1002,1170.9713043478262,24,0.07435440783615316,12474,27.599999999999998,Positive
4053,17857.0,25,26763.34,19256,170,1070.5336,2,0.008828417116742834,19086,250.0,Positive
2945,16333.0,22,26626.8,32184,0,1210.3090909090909,7,0.0,32184,82.5,Positive
1067,13777.0,41,25748.350000000002,12897,93,628.008536585366,0,0.007210979297511049,12804,1230.0,Positive
2522,15749.0,4,21535.9,18028,9014,5383.975,234,0.5,9014,0.5106382978723405,Positive
2860,16210.0,18,21086.3,7559,0,1171.461111111111,1,0.0,7559,270.0,Positive
334,12753.0,11,21024.01,11421,171,1911.2736363636361,3,0.014972419227738377,11250,82.5,Positive
3704,17381.0,30,20272.43,25649,3,675.7476666666666,8,0.0001169636243128387,25646,100.0,Positive
3925,17675.0,41,20098.1,8360,82,490.19756097560975,0,0.009808612440191388,8278,1230.0,Positive
1980,15039.0,52,19638.59,9131,18,377.66519230769234,9,0.0019713065381666848,9113,156.0,Positive
318,12731.0,14,18793.41,8437,71,1342.3864285714285,23,0.008415313500059262,8366,17.5,Positive
100,12471.0,49,18705.52,8200,247,381.745306122449,1,0.030121951219512194,7953,735.0,Positive
2079,15159.0,34,18573.68,11441,47,546.2847058823529,1,0.004108032514640329,11394,510.0,Positive
273,12678.0,13,17588.26,10923,24,1352.943076923077,41,0.0021971985718209283,10899,9.285714285714286,Positive
3741,17428.0,33,17078.45,9474,39,517.5287878787879,0,0.004116529449018366,9435,990.0,Positive
1144,13881.0,22,16989.52,10118,56,772.2509090909091,3,0.0055346906503261515,10062,165.0,Positive
1062,13767.0,52,16945.71,7322,64,325.87903846153847,1,0.008740781207320403,7258,780.0,Positive
450,12921.0,50,16389.74,9526,72,327.7948,3,0.007558261599832038,9454,375.0,Positive
436,12901.0,36,16293.1,23075,2160,452.5861111111111,8,0.09360780065005417,20915,120.0,Positive
3927,17677.0,43,16201.37,9772,50,376.77604651162795,1,0.005116659844453541,9722,645.0,Positive
2603,15856.0,31,15929.74,10866,64,513.8625806451613,3,0.005889931897662433,10802,232.5,Positive
2099,15189.0,53,15802.14,6149,114,298.15358490566035,0,0.01853959993494877,6035,1590.0,Positive
1268,14051.0,26,15477.34,3756,15,595.2823076923077,0,0.003993610223642172,3741,780.0,Positive
3325,16839.0,39,15357.78,8975,505,393.7892307692308,8,0.05626740947075209,8470,130.0,Positive
1251,14031.0,23,14634.640000000001,5788,418,636.2886956521739,6,0.07221838286109192,5370,98.57142857142857,Positive
2341,15513.0,22,14520.08,5709,164,660.0036363636364,30,0.028726572079173236,5545,21.29032258064516,Positive
